Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3211383,114.1637496,18,2128,4142,6270,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,19,3444,4369,7813,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,20,2408,1345,3753,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,21,2287,2494,4781,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,22,2172,1723,3895,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,23,1692,2348,4040,"(22.3211383, 114.1637496)",13
22.3105152,114.18586,0,1916,877,2793,"(22.3105152, 114.18586)",14
22.3105152,114.18586,1,2054,605,2659,"(22.3105152, 114.18586)",14
22.3105152,114.18586,2,1924,1207,3131,"(22.3105152, 114.18586)",14
22.3105152,114.18586,3,4,201,205,"(22.3105152, 114.18586)",14
22.3105152,114.18586,4,211,609,820,"(22.3105152, 114.18586)",14
